id;date_utilisation;code_qr_service_id;partenaire_id
7674ea37-05c3-4646-8c0b-ee690c773e54;2026-09-21T13:54:04;a164d740-f2ad-47d5-863b-e1647f11f736;f693a2bd-e557-4b5a-a26b-023e55a546c2
357509e1-089f-4cfa-ba52-270472a99346;2026-09-21T22:17:21;47260616-141d-42fc-bfa7-b3cf05a9dbfb;7d0b5008-23ca-465f-888a-b51b4ad5accc
2b10b245-2a63-46d5-af49-071a00c2fe87;2026-09-21T23:14:38;8cc23532-dcf4-4267-b30f-80c0ca5b3826;b4d60d43-5f8c-4ef4-b46a-9ad36538058d
1ad9f0ef-3e12-490b-96ce-bf72f05b102e;2026-09-21T10:39:32;5f320608-82bf-49ba-a360-148d9fa5316e;3c861bc1-54fe-4883-ab21-650096910a7e
40ed336e-baae-4ded-809c-ba84e007cd56;2026-09-21T10:09:24;eeb1d6af-9f2e-4241-b550-2d4cb6918188;ca792a63-a76b-40e6-a604-30321d7f22dc
8f743145-7854-4d47-8b61-2b076f296372;2026-09-21T16:48:15;776cc586-e09e-4035-9162-baa114fc92e3;5e996329-783f-43d1-b8a0-0c165a956999
970951a2-8b2b-48a6-b2c4-4e8199881547;2026-09-21T22:19:03;cf02589d-fa8e-4147-809b-5326d9b4214e;77207462-486d-43b6-8514-f626915e09e0
256df470-08b8-4cff-9b12-e91e4370abdb;2026-09-22T00:04:00;a34fb937-5401-4f91-b72d-8ca74bc5e2c5;7de12017-d11a-4bfb-9538-a875cccd5098
fbed7b61-8144-45fe-928a-7e139444710e;2026-09-21T16:05:53;8c2f06d5-1b62-4ccf-a876-38c0f98910d8;671dc0a9-9528-43c3-82a2-fa98d2b2120c
7a3654aa-a50a-4208-871e-de2739cc73b4;2026-09-21T22:44:25;c5579885-98a5-473c-be04-537e12814bd9;28526cd5-2ad7-4228-b8e3-2d403d5fbb62
7173e9e8-ca21-4b1c-a0a4-572954703018;2026-09-21T17:17:00;1e0d1e09-af10-41be-8860-2896a82b6092;8721c22a-0fe6-4aba-92bb-8f230d987f7b
7eb9a667-850f-40e1-ba03-cf99648a3b93;2026-09-21T12:36:06;6e1ab74f-03d4-40ca-84d9-3bcce7896c65;8e545e16-7b7f-4c4a-9646-d93bb88b5731
012356e5-ec73-45e8-ad64-9b1adaab76c4;2026-09-21T12:52:30;d421b8f0-2a1b-4415-9c30-959c108b28d9;2a41f7f7-4b51-42f8-84e3-547b16e61a02
0698579d-7e1a-4ae1-afb1-08dfdd760ccc;2026-09-22T00:42:02;4c0b8722-88ec-4f58-8850-56081c323e66;15872064-7ef5-485c-9391-5ade02d42e7e
ea66a613-832c-4561-b3ba-7a760566ea7b;2026-09-22T00:41:38;af1192b8-dbf7-40a4-a3a3-d87d3eed4d6f;88c648cf-0565-419f-ae62-ae8b30c288b9
26202708-83d7-4af6-b90e-827218556375;2026-09-21T12:49:12;f5d88381-8ac0-429e-b772-42cdb05cdd10;c4e9a72e-8ca3-4928-a6c9-7eb22711136a
fb554bef-b878-40f9-b311-62ee118d9e72;2026-09-21T15:16:23;a9605e22-3a8d-41ea-abf1-6934283a127c;96566a16-de03-48c2-a457-d50381da416c
6f79e428-85f1-452a-b2f6-534a4e7b22a8;2026-09-21T16:27:04;f264bf58-f22b-42c5-b592-5403e528a792;411f0460-778f-4ae4-bb13-c4dae22f782c
54b79a70-6c0e-41a0-bef2-7415307fa343;2026-09-22T00:19:34;4b55d6fe-a68e-4591-a4ad-697c699b509a;d88cba5d-034b-4e21-a46b-fde55214fc45
84ae94b5-ebde-47e6-b6ef-a937cbb6f8c4;2026-09-21T10:19:05;1e15803b-2c5b-4652-9a8d-1f55892340bf;1190c803-a4b4-42f1-9201-5e64c19b1c3d
7a7f3d5b-88d0-44e3-be1f-017510eb7fde;2026-09-22T03:40:34;59ea0c43-e08d-4cad-90fd-a4e4a704be86;8ca7a4d1-6dee-4436-82d5-f85cca0ef86b
8bc17cf8-74cc-4ddf-ace4-5a40816b19c0;2026-09-21T09:28:07;823082d1-8c80-4617-8b69-109270f51f3a;0241e27a-5675-44fc-8d20-9d797896c583
37092559-bf1e-4b2c-beb9-478b0cd8edf8;2026-09-21T17:31:01;19d84cf8-db59-48d7-b96b-ad47b55baa7b;5663016f-f253-4773-98e5-579a70503dae
4b162aa7-c84a-4592-85fb-dd9fd1aa0050;2026-09-22T02:44:13;b635661d-5d6f-4c4c-8ec7-e5763dafa29d;863ac395-40d6-464b-9ae8-dba000bb7406
610254ed-e3d2-4c4e-a7a6-cd783ee34fe2;2026-09-21T14:00:19;a1b0dad1-8fbb-4df8-9004-f553c2b94826;b1363ccd-6c0b-4f4d-aa3a-b93a82bd1d3e
17c408dc-b183-4333-84ee-562523a68078;2026-09-22T05:55:34;4979922a-b672-4c28-8743-6ab534dd0749;ff2ee911-4da3-4852-b201-abe3ca33c7ff
bd3e9e28-bb61-4dc7-962e-29d3a52968b2;2026-09-21T13:31:01;060478d4-9be7-46b8-9d25-6b7e6d4fbd63;d310541d-623d-4872-88fc-c357dee78c3a
