id;titre;message;date_envoi;lu;client_id
36edc236-e2bd-44af-ba53-c57017e7d9fe;collègue;../fake-data/blob/hipster.txt;2026-09-22T01:15:04;true;e5e200c2-b827-4477-9b8c-4e50d460479e
5c256250-6ebf-4e9b-b8c8-e3675fef7980;jusqu’à ce que blesser;../fake-data/blob/hipster.txt;2026-09-22T01:34:39;true;2f6173dc-1e7f-4b02-8eff-caa821f60d31
8e00f530-e7c9-48c6-b1af-95d41fcdd6b6;à l'encontre de;../fake-data/blob/hipster.txt;2026-09-21T13:56:41;false;c927ed79-2e43-42af-943e-74305a7561a4
ebaded3f-8117-4d99-9a57-a51592e67839;nonobstant trop;../fake-data/blob/hipster.txt;2026-09-21T15:14:54;false;09d20dbd-5dfe-4cbc-a0cd-d112724b8500
7359dc8b-8938-4b38-9362-ff3784a22775;clientèle ouille si bien que;../fake-data/blob/hipster.txt;2026-09-21T16:58:54;false;66223fd8-4192-48ec-85ab-11f4e8604fc2
17f0fe1b-99e4-4a06-aa29-419445e6d017;du fait que;../fake-data/blob/hipster.txt;2026-09-21T11:26:46;false;1e6d1ee2-6104-40eb-a476-f036beb3ba01
e6bb6f34-f90c-41ba-b810-6900f9691852;ensuite tic-tac debout;../fake-data/blob/hipster.txt;2026-09-21T22:31:40;true;9a7ae3c4-8bbd-4549-8059-00021480c95f
7d406865-333d-43d3-81a0-a4bf33258e85;dès que jusque;../fake-data/blob/hipster.txt;2026-09-22T03:39:36;false;f5b4d30e-f7e6-49c1-af81-0e2fa259aa67
0c93bcc3-150a-43dc-8e78-247400c313fa;échapper;../fake-data/blob/hipster.txt;2026-09-21T17:46:10;true;f2d11423-7aa6-4238-9328-7279b7d50265
9c1d3b83-c155-4824-a023-4c2502a6a438;aussitôt que;../fake-data/blob/hipster.txt;2026-09-21T22:44:43;false;35375b8f-17e8-4124-8c80-c9d517c7316c
4eedcc06-b5f4-47ab-88c3-29a825930156;soudain malade meuh;../fake-data/blob/hipster.txt;2026-09-22T02:43:46;true;8161b332-1910-4bea-94b4-9ec51e3d5a68
e1e3f7db-c5b7-446c-88ab-36d0b35460a3;sage autrefois;../fake-data/blob/hipster.txt;2026-09-22T03:23:56;false;64d195a7-de24-420d-a236-2e0024be7b48
