id;quantite;date_consommation;client_id;quota_service_id
c31a363a-25ea-4e17-b801-ec519285c549;9232.76;2026-09-22T03:24:55;e5e200c2-b827-4477-9b8c-4e50d460479e;d68c9888-b244-44ae-b766-3992716d90fb
78e144bb-efaf-49b6-8c42-b06c7eca739d;18513.65;2026-09-22T05:37:12;2f6173dc-1e7f-4b02-8eff-caa821f60d31;44364142-64aa-4093-9720-c21fa8216589
baf62219-3e3a-4791-88f7-cabe9cdc928b;6989.99;2026-09-22T05:49:10;c927ed79-2e43-42af-943e-74305a7561a4;79a195c2-e318-4f82-bd53-e796a1a52921
a70bb493-6b56-4646-8b32-beb64c7deaa5;23256.81;2026-09-22T03:59:31;09d20dbd-5dfe-4cbc-a0cd-d112724b8500;ea992617-8ee6-4a3e-93e2-d7183a51a3ec
3c72b9cd-2205-4fc2-aca2-1f0f0c7300bc;4201.59;2026-09-21T15:48:21;66223fd8-4192-48ec-85ab-11f4e8604fc2;c0f93f94-01d7-42a5-aa03-4d0a40f5a481
00421fcf-d9b3-4b07-bf9f-d3f2b2719ffb;2901.4;2026-09-22T05:29:39;1e6d1ee2-6104-40eb-a476-f036beb3ba01;5d2e674d-5eb2-4fcd-a2ec-d28cdba0b7e6
4f77732f-411e-4238-b4c4-8e92da1072d3;24519.26;2026-09-21T22:53:20;9a7ae3c4-8bbd-4549-8059-00021480c95f;96935d8e-cd9d-46ad-97ad-85028e8c8996
7660941a-a06b-440c-8219-f626cbd94f54;22711.8;2026-09-22T05:45:35;f5b4d30e-f7e6-49c1-af81-0e2fa259aa67;6d5ae8c4-191b-44a3-8c30-e646776eacda
2ac537a5-6d71-4ff5-b3ff-daad077ca13a;12768.98;2026-09-21T09:52:17;f2d11423-7aa6-4238-9328-7279b7d50265;549b9ac6-be9e-40b8-bc56-5a73543f4996
d8a381ef-7c72-48c1-879f-471f17628384;3874.49;2026-09-22T06:28:40;35375b8f-17e8-4124-8c80-c9d517c7316c;66a6c495-c53f-49a3-8dc3-ee39943feca7
7348469b-716a-4fc3-9ce2-ad5fd1d71824;4545.83;2026-09-21T13:22:21;8161b332-1910-4bea-94b4-9ec51e3d5a68;2c90d369-5867-4697-a1ae-2431cf0ab184
60e73928-7600-4efe-a609-d63434c12542;32386.39;2026-09-21T18:23:07;64d195a7-de24-420d-a236-2e0024be7b48;1641014f-24ba-4a03-9ae6-995ef43b613f
1393932a-b930-478c-b353-7f681d5232ae;17544.57;2026-09-22T04:57:18;06bb1162-daaa-4428-bd85-0077cf1a8af7;a24c771d-b170-4f71-8fb8-d4ec7e291566
b91e10a6-772a-4570-9dd0-f1dc99dc2fde;11860.01;2026-09-21T16:46:45;9b24f7ca-d1d0-4126-a5ce-2f9c0e61d482;d7bebc93-39be-4128-9fee-147b0c62ea66
61ee6b8e-f932-40bb-b32f-61f43efda673;3444.8;2026-09-21T18:38:11;7299d01f-5506-402b-8acd-8ba857288886;afeae6d5-253d-4b0d-b988-83f9983efcd9
72298460-c2d2-4c49-974c-37bd5fc4d6f6;22898.21;2026-09-21T12:06:33;531f549f-dd5e-4a33-a840-5323d1ede974;19d2f978-df5c-4ac1-921e-395b689a64a6
f89140be-7074-45d0-92ac-fe1dd9a7c0bc;11976.48;2026-09-22T03:17:35;52630815-09b9-4640-b920-94d5bf285feb;a87a568c-795d-4c59-955f-4bc8bff8754f
fe883970-417f-443e-8fdc-41f999100df9;14.52;2026-09-21T16:51:50;71493c5a-1aad-4882-a3bc-f9d03a096195;1a7eaf70-b9cf-48af-a98e-9763165f6bc1
3051d6ee-72b0-4cad-81bb-bb3d9f8b5a84;29353.65;2026-09-21T23:19:13;9188d9bf-b7c1-4404-bf9f-69e243a88f7f;30765115-689d-4290-92bf-0e665d8645d3
12fcc899-b857-4d6e-9ab1-d1b74edcfda8;18890.99;2026-09-21T23:59:51;d9eb52ff-c8ed-4592-af08-db22ba168a30;610a66d8-c93a-47c4-be76-d705ce62d5ca
27daad7c-d1df-4f83-bdc2-b8832208d905;7694.11;2026-09-21T09:42:10;42afb449-5dff-487a-bffc-d51ea7edc9c6;a9e9948d-097a-4a6f-ae6c-bfe31d0a337e
b5f076f9-5acb-4541-9be4-10e8642de1f7;220.99;2026-09-21T15:45:36;b66c3398-957e-4b38-be4b-cc62554f24fd;22e76521-406b-42f5-8cea-1c9b00acb706
429cb61c-5bad-4475-9789-c4ab3c6bec00;3299.95;2026-09-21T18:56:01;962b5740-6367-4020-9d27-5c13ea1597ba;5fbd78df-06c8-410b-bba1-9b4346ec5db6
eea26a70-1ad7-40bb-9801-2fe9f587bc4a;13082.47;2026-09-21T18:55:18;b3b024a1-10d1-4809-93cc-ab751ac405cf;ed194807-a396-448a-9670-eae51f3993ae
ecef5edd-08a9-46ce-99e4-c3d83f7d0f6b;10594.83;2026-09-21T16:04:32;9a4a54e3-de0c-465f-9c02-25f0cd9fe835;5915b9ba-2d24-467d-a838-d2eff8acd5e2
559473e8-a4bc-4be8-a45a-db619d5c4e5a;24728.54;2026-09-21T20:33:02;c108b4db-d8ba-4d29-bf06-5e7930ddf944;4957ef45-22e1-43ed-bdbd-1f845d1fc048
c7233199-2967-4f97-96e0-3458e7cd7fbd;13494.38;2026-09-22T07:29:20;025296bb-b987-43dc-9bf4-a169849b4008;0a7bcf3d-7abd-4eb5-b67d-caa9c008125d
7425bb56-b6bc-4d92-a4fd-46d9ebc20e12;12140.49;2026-09-21T11:09:54;e581f329-bea6-4aac-9c64-afd12ea2327d;f50cd7ed-1d81-46a8-829f-d1eb7655baa3
de570b4b-70e1-4c14-8f31-3539872766d6;7352.92;2026-09-21T20:14:25;4a957899-dde9-49b6-baa5-5fc559dcfa7f;f9bfb04c-f359-44ae-8c69-31d1d1712da4
c6e2b1fa-a1db-4b2a-9077-88ea1b3db074;6466.86;2026-09-22T01:46:25;3777e12b-1200-4daf-ac21-a61790537d02;994cf400-692d-431b-b0ee-29ad79fae095
