id;partenaire_id;zone_id
c7a4aee8-b285-4982-83f5-8f3306c5870d;f693a2bd-e557-4b5a-a26b-023e55a546c2;64f5fc18-6f17-4ca6-8d0b-5041a9dc5370
7d2bdc2a-46b3-469a-a810-600aada32583;7d0b5008-23ca-465f-888a-b51b4ad5accc;98f04cbb-7777-41fb-b00f-289a36625deb
32347faa-4963-419f-be65-406d6f21a9fb;b4d60d43-5f8c-4ef4-b46a-9ad36538058d;876dd88f-362d-420d-9d8f-243ae78dc6fb
6b89f513-0005-42cf-8d65-e26a90a3b2f0;3c861bc1-54fe-4883-ab21-650096910a7e;5fe4fe6d-e930-40d3-92bd-4c8ab9753b25
32de3c7e-d8bb-4727-9f00-29cb0cb39503;ca792a63-a76b-40e6-a604-30321d7f22dc;ba35721d-9879-451a-bcbc-25f00c690c22
06d00ca2-c6ec-4edd-8749-802f8f8665f7;5e996329-783f-43d1-b8a0-0c165a956999;b84e3cdf-e0f1-4742-9414-09a5feffe7ec
36bf9fac-19a2-4bb5-ba0e-1b079a10b26f;77207462-486d-43b6-8514-f626915e09e0;f78fc2c3-2796-4af4-a9cf-5d0139e9e4f7
3bf33bbe-f5f8-4d80-bd6d-c6c7a28b136a;7de12017-d11a-4bfb-9538-a875cccd5098;31362fa6-2a6f-459c-a120-9dfaf676952a
d48d1163-870f-4d8f-9220-48f4bd27e412;671dc0a9-9528-43c3-82a2-fa98d2b2120c;c3e906af-c06d-49ff-99b3-8088e8171f06
29460e5e-fb6e-4503-b07f-62c15afed9c8;28526cd5-2ad7-4228-b8e3-2d403d5fbb62;a003d516-9c3f-420f-b953-e206b960d9da
447ee98c-4186-4c27-804a-f31aa3a8b406;8721c22a-0fe6-4aba-92bb-8f230d987f7b;1f40e4bb-735b-4526-a147-0636128a043a
2dda9f99-3cb5-4ca7-9878-22dd8eb0fa1d;8e545e16-7b7f-4c4a-9646-d93bb88b5731;ad2ce028-d4b4-4340-8e0e-22ec0ecbb2e0
9d541548-b85a-47e5-b64f-bfcc2b229d35;2a41f7f7-4b51-42f8-84e3-547b16e61a02;9aa89f28-f36a-4cd5-a0b5-91e9987decec
da96b0c6-fcd9-4157-b22c-ad2dbb325224;15872064-7ef5-485c-9391-5ade02d42e7e;325f3769-70a6-4f28-befa-39f5990c52ef
ec566b8f-d864-4be1-8d2d-dc46b3c946d8;88c648cf-0565-419f-ae62-ae8b30c288b9;ad70e0ea-3761-4c60-ac41-592f3575df81
8f072702-581f-4744-a330-1ed210bf1091;c4e9a72e-8ca3-4928-a6c9-7eb22711136a;3719c60f-17c3-45c0-85c3-e3a1d08c8298
34e64b30-2d2e-4d4c-a628-0fa3b62e3dd6;96566a16-de03-48c2-a457-d50381da416c;293ed9f0-41b2-46c7-82e3-3e25d9632c15
9cc1bcc5-2deb-48e3-ae16-189356b7f068;411f0460-778f-4ae4-bb13-c4dae22f782c;f099e81f-f08e-4f50-91fe-f339cafde6e9
7a46fc87-a2b3-4d4a-858f-dfa0e193acc5;d88cba5d-034b-4e21-a46b-fde55214fc45;cc3fa2a0-2076-42c5-8c0c-8e02cc6c6e37
5c532067-9662-4c0e-b15f-fb62a3ec1c69;1190c803-a4b4-42f1-9201-5e64c19b1c3d;64b14bc0-49e4-4c7c-9fe6-9c2253ad2633
a04f9cee-440a-4787-9e87-7c0eac79c3a3;8ca7a4d1-6dee-4436-82d5-f85cca0ef86b;83687bf4-d3ef-4863-8c8a-85482fd9d539
9326d631-80b7-4b65-8630-8d0f87095752;0241e27a-5675-44fc-8d20-9d797896c583;f17a6615-de58-47a4-8921-67f76fcf6c5e
80fcf75f-c662-494f-91f7-f6cfbadb97a5;5663016f-f253-4773-98e5-579a70503dae;6316355f-1ae0-4d0b-8570-d4aa51161c63
08baf0fe-71eb-4f52-b202-5d7c2a4b41fb;863ac395-40d6-464b-9ae8-dba000bb7406;d9a29651-8b91-46f8-abcd-3e66df580878
b6c8bdf9-76c9-4ea4-9648-6c8325c01a00;b1363ccd-6c0b-4f4d-aa3a-b93a82bd1d3e;229432c3-ced0-46d4-b061-117a9d500941
0ff0a437-2b70-477e-ba2f-418e670e49cf;ff2ee911-4da3-4852-b201-abe3ca33c7ff;8f0393d4-ee0e-484b-932a-570d5ee18541
76b64c97-ee62-441e-8327-8634921e021a;d310541d-623d-4872-88fc-c357dee78c3a;9feb399e-b303-4688-bbc0-d791f038124e
bd5cf029-54ae-40f7-9acc-4427a97df131;090fc446-7ac6-4e97-8e65-01781ce379b8;d7247e92-29ef-4b3c-a210-f8387e2f49bf
e5747074-14e8-4f63-8dbe-f5c9140e2245;27781f5d-b75a-414e-8e3a-44fc6665b4b1;cfa42025-34d5-48d9-b845-04babfabf250
9d07fb25-dd2f-43b4-91c2-719cd7fde589;6854478c-e7e3-4b0b-bbc0-36d0daced75f;1e546658-8f04-4112-8e82-293921a59f3f
