id;type;quantite;date_transaction;motif;compte_stock_id
120e867b-68b1-4217-ba40-de213e6bca2c;CREDIT;30513.47;2026-09-21T17:07:49;smack suffisamment;fe203b40-6313-4a44-9fa1-063d8672c9a3
580ed964-7cda-4906-a53d-f0b2f691bfdd;DEBIT;28590.62;2026-09-22T08:31:48;placide bang propre;781029b1-d6ff-424f-bcc6-8fa7ab0957cb
2b946369-8880-41b2-a775-1ed27a3689b4;CREDIT;3877.26;2026-09-22T00:05:42;dans aigre;6b954f9f-85e5-40cd-88d1-87a605bcec28
b8eb505f-434c-4eaf-9332-668e23c05618;DEBIT;1174.09;2026-09-22T00:24:41;aussitôt;8f50305f-18d0-404d-9eb4-f79fe05c40e7
b1ff3872-b1c8-4a6a-bfa8-d731849db76c;DEBIT;29530.07;2026-09-22T03:18:52;loufoque totalement;3245f896-7465-46f2-9f7c-b7f406edcf31
a6d711c6-b8f6-4011-81fd-f1d397db6f5a;DEBIT;29194.08;2026-09-22T04:43:09;miaou;5b566c0e-eec6-412e-9bc1-8cce2474ec0c
11c87c5b-c237-40ea-a633-fd9abb1cd1aa;CREDIT;11111.04;2026-09-22T08:40:17;d’autant que mairie avex;6bead107-e354-4ee5-bc2a-e43b5ae426cc
19ea3fac-7cff-4cb8-82cd-5674bbcb3a2e;CREDIT;22658.59;2026-09-21T17:43:55;de la part de de sorte que;0f63c88f-9ab8-470c-ab78-93439b45a5de
b110f62d-da22-41e8-99ee-d16733022ab5;CREDIT;10984.35;2026-09-21T17:36:27;de façon que;7283de47-52ab-43bd-8ce9-2b854bec1f3d
60d403e0-7adb-409f-a5cc-dacab08b4ae7;CREDIT;23833.54;2026-09-21T13:46:20;caresser gérer sauvage;01f40eff-00da-4330-8ed6-84a892390223
e2373cb8-035a-4af9-874a-5d67cc74ff84;DEBIT;13885.17;2026-09-21T14:18:38;sale plaisanter repentir;af0abc65-eaca-42b9-afbf-272d9a10f615
0818de95-7b0b-40fe-ac1c-303702065c16;DEBIT;17775.3;2026-09-22T01:52:24;pourpre sans que;af202258-1601-48a7-9664-d385c9334d61
5dbc01ba-fa15-431c-9ea9-4a960f33231c;CREDIT;9814.78;2026-09-21T21:29:56;vers exister;59860c5c-85c1-4254-aa26-8c0c76981735
b94a2224-a79f-48ec-ba1c-d4480ef4558f;DEBIT;31508.01;2026-09-21T14:43:33;vroum vorace croâ;7d61eea0-ea53-4316-9a01-48829f236382
be8595ba-0a54-4e9f-9eba-cd76c651e413;DEBIT;30395.15;2026-09-21T21:03:18;hi antique;5708a2c0-e6c0-4f85-ace4-f15f7d6ca6e6
1f0caf7b-91f8-4fdf-9569-f0cc040c9941;DEBIT;18341.88;2026-09-21T13:53:39;à l'encontre de tant direction;57534e84-098a-4a04-b8c6-e9023e5d85d2
be0e01bb-9cd4-462f-8e5f-72cd3ed8ed19;CREDIT;4598.7;2026-09-21T21:19:50;quand avant;a5e72b50-9540-4c98-8724-915f61dd8a27
3051df4e-4cdc-40a2-9d1f-6f5e00f32dfe;DEBIT;1147.14;2026-09-22T07:13:54;porte-parole;9fb7351d-66d4-485c-89a1-9dd847c09021
283bd00f-2ab6-433e-b4e4-6066513a3f5d;CREDIT;24262.33;2026-09-21T11:52:04;chut;ff04347b-87f5-4c7d-ba9e-0f907b9b227d
0b3ec8d5-85a0-480b-9c07-5ed2441cf263;CREDIT;21248.89;2026-09-21T14:57:39;mature souffler touriste;6c19fb3e-a36d-484a-bea6-7b3e5028daec
5a14d22e-71cd-4c24-92b4-08e7bd0e9573;CREDIT;23775.01;2026-09-22T00:09:14;de façon que un peu à l'instar de;d3b1a692-c7d4-43b6-b1f7-116181fe062a
1225bd9c-95ad-4d04-83d8-0bb283041f2a;DEBIT;7046.62;2026-09-21T09:38:07;même si responsable commis de cuisine;8321bda2-5e54-4204-bf74-a83e12c13c1a
f1827496-ba5f-4046-958c-d55d2d04aee5;DEBIT;15078.57;2026-09-21T10:08:00;pis redevenir partenaire;18f01687-2f8e-4c98-a3e6-874534e5e742
a985216b-8b63-4c3e-b116-c3e5314067e4;DEBIT;16307.6;2026-09-22T05:46:07;au cas où ha;bb0c22dd-51c4-4476-afc9-5dfb71cf0e75
75a59ea2-7dc1-44f6-9f29-73dba71cb5ff;DEBIT;18634.84;2026-09-21T14:43:20;au-dedans de remonter cocorico;c7b02bad-3c18-48df-9287-dc8a6b1c95a2
c52ee5d7-1e41-4a7b-8141-9d341971b68f;DEBIT;23189.96;2026-09-21T11:27:02;insipide;6be497ba-3fed-434a-9d5c-4caa9a89ad03
609ad661-272d-4c62-87e9-c9ef5124bcd4;CREDIT;9623.63;2026-09-21T21:54:04;interpréter totalement;9ec82595-6d79-4bed-8cf3-700ee49ea568
710d5af9-c58c-4fbf-9570-c991c8a367e1;CREDIT;29930.33;2026-09-21T15:41:15;attraper;de0c0388-fc62-4e79-9614-048185a2af4d
7b608680-0fa3-4b44-b33c-6dde5c9bb003;DEBIT;2276.95;2026-09-21T17:26:38;gérer mince ouch;1db18ce9-ada7-41bc-b40b-2b5b0bec7ea6
95048f32-a373-40ad-b19d-d86add071ccf;CREDIT;17096.23;2026-09-21T20:47:19;que;18ade0ac-c7a0-493e-a41e-40850884c28c
