id;date_debut;date_fin;partenaire_id;service_id
a2fc1121-4c94-4d68-984b-b8641e4fe21e;2026-09-21;2026-09-22;f693a2bd-e557-4b5a-a26b-023e55a546c2;69b414ae-ab61-4c82-8b4f-429bd6af8eeb
a71a3e87-6e5d-4fee-9feb-bd58bd07196d;2026-09-21;2026-09-21;7d0b5008-23ca-465f-888a-b51b4ad5accc;d6e1ac50-383e-4dbc-8bf7-54471cda26a1
3d2ac121-3857-4a65-b9d5-451205db5cef;2026-09-21;2026-09-21;b4d60d43-5f8c-4ef4-b46a-9ad36538058d;ffc731ea-7473-4e85-bcf3-877da8af0d87
a91fb195-92d3-4b0b-b7fe-b39373b2121f;2026-09-21;2026-09-21;3c861bc1-54fe-4883-ab21-650096910a7e;0edc86ca-a16e-4ac1-89ed-b3e7d5a8a4b5
b21a34bf-a936-4f63-9424-42629a988600;2026-09-21;2026-09-22;ca792a63-a76b-40e6-a604-30321d7f22dc;fcc9d216-7629-48b2-89e8-f1ef8b177cf0
fe9d6eba-7ec9-4dcd-8b29-13d3f88f9ee8;2026-09-22;2026-09-22;5e996329-783f-43d1-b8a0-0c165a956999;6f87f340-8fc1-43ba-af6c-a0b01ebe7e82
e14e393a-5465-4ad5-b727-f484d3df0699;2026-09-22;2026-09-22;77207462-486d-43b6-8514-f626915e09e0;48488c6f-2f7c-4ce0-8a39-4a1f53b04fb4
b53e85bb-7d8e-4911-93fe-e1184a9a7028;2026-09-22;2026-09-21;7de12017-d11a-4bfb-9538-a875cccd5098;a935bc6e-1223-421a-9307-d14fb4f06e9c
3ebc0cee-96d5-45b0-87e1-73766ef729fc;2026-09-22;2026-09-21;671dc0a9-9528-43c3-82a2-fa98d2b2120c;4e67f872-053c-4183-9bc5-6a29000ca159
e3fb2efb-071e-48eb-9336-a8d3501389d7;2026-09-22;2026-09-21;28526cd5-2ad7-4228-b8e3-2d403d5fbb62;10a4b7b8-bbbd-4518-be85-6badb356f4c6
