id;autorise;gratuit;date_debut;date_fin;service_id;segment_client_id;type_client_id
36b887b6-1530-460f-8441-e8220d0636a9;false;true;2026-09-22;2026-09-22;69b414ae-ab61-4c82-8b4f-429bd6af8eeb;efe8343b-bbd0-47da-a7ab-27fe8fe93eff;802cc264-d4f0-4507-b27d-0510e20296ea
ec1c6491-f8fa-4bf9-a146-353d4cd4dd71;false;true;2026-09-21;2026-09-21;d6e1ac50-383e-4dbc-8bf7-54471cda26a1;797ee22d-19bb-49ab-898b-8a10578bc9d2;debe05a7-eb20-4b36-831d-a9aa6781f7a1
74df570d-aaef-47bd-8ad8-ec33bf249872;true;false;2026-09-21;2026-09-22;ffc731ea-7473-4e85-bcf3-877da8af0d87;7b3bc3d9-5ffd-486e-b7fa-1b1acdecd678;6858ddbf-a421-479f-820e-d3a78b1e55c9
eaafc4fe-5b10-4113-a6df-f46e8c8b3053;true;true;2026-09-21;2026-09-21;0edc86ca-a16e-4ac1-89ed-b3e7d5a8a4b5;0857dd0c-3b3d-410e-8743-d591d7a035c9;897350f9-a42e-4dc2-8265-0a6415ef1f7e
0b1d2da5-78e0-48e8-aca6-2abe202fe6ae;true;false;2026-09-21;2026-09-22;fcc9d216-7629-48b2-89e8-f1ef8b177cf0;4c237cbe-1fb0-4356-8b93-04f91bf2705d;c205ca5c-7d3e-44a7-8b34-13fe8dfff417
a63f8c37-aa87-41f8-bbaa-81ff663a695b;true;true;2026-09-22;2026-09-22;6f87f340-8fc1-43ba-af6c-a0b01ebe7e82;037369a9-87af-4d2f-babb-57d31f0a9f97;cf7ac06e-85cf-418f-8d52-c865674b0eb2
15a7306f-0af7-4def-88bb-0363b8fd9bad;false;false;2026-09-21;2026-09-22;48488c6f-2f7c-4ce0-8a39-4a1f53b04fb4;42026383-e86f-4095-a4a7-247242ac64ee;5fdf6160-d5ce-42d8-ad65-8be71b09e011
831f076c-c9d7-4532-861d-d1a57efa470c;true;false;2026-09-21;2026-09-22;a935bc6e-1223-421a-9307-d14fb4f06e9c;902ce1db-b91b-4ec8-99da-a74c709d65be;034d0666-3860-48e0-820b-c28238f72c7c
a92d2140-38dc-4e0c-ba61-6509ecc32578;true;true;2026-09-22;2026-09-21;4e67f872-053c-4183-9bc5-6a29000ca159;8253fa15-a2d5-4114-ba89-a2857bbf4636;c279a100-730c-4eba-bbc3-ebc091f8e282
dc90baa7-df04-4cb9-94dc-214184616bc4;true;false;2026-09-21;2026-09-21;10a4b7b8-bbbd-4518-be85-6badb356f4c6;e57aceb7-4d1f-411a-a9ee-21ba84a34a0b;7505ec2a-93e0-4363-ac7d-2c17f26e104b
71e657e4-d67d-4839-9e57-e39d472f5b91;true;false;2026-09-22;2026-09-22;5ff184bc-1a58-4db4-98c9-9b9da9f98040;656f69e5-3066-4e53-9194-389f8f2f48e5;8c37aca4-63e0-4115-a39b-3615e2d49b11
892d78a7-ed7b-42d2-b8b9-b8bf0e77babc;true;false;2026-09-21;2026-09-22;61b4ed90-ce16-4ae6-bfe0-c8a1d538b2fc;91d765bd-a969-436a-a297-2d5dfe7fa57b;75bab415-e697-4dce-ac38-05662f786660
288e09d9-ada9-43ab-ae2e-e465e7eb3111;true;true;2026-09-21;2026-09-21;04c1aae6-0d73-4897-ac47-868aa0fca263;595dc3c6-4759-4c92-8399-d2c91d1a1184;dfbc6825-aac5-48cb-91f8-fac9eb84b1b6
e84d4798-bbf9-480c-867b-cafaec98907a;false;false;2026-09-21;2026-09-21;34f95ed9-a3f0-4db4-8d0f-9614ab5f1794;5add51c2-2dab-4ac6-99cd-2858a9b096d7;771fbb05-4ba4-45ed-83fe-aa2f698a84a4
e418a763-a67b-4734-ac4f-03c37e4b08f6;true;false;2026-09-22;2026-09-21;26506060-abd6-43c2-88eb-50e1fbc4ff8a;e3206c1f-5190-4494-b825-920a66ad71a1;2554e3d0-752c-408b-9005-f5fb290388e0
575f3605-30e1-4893-afa3-33b25750b4f3;false;false;2026-09-22;2026-09-21;ac1103e6-e518-4599-be0f-a9528e221838;075136d4-bb74-4cff-b9a4-f0ba8c3a8d4d;0a97f73f-bfa0-4394-8dfe-2da5d2b3b0a9
ae914b8b-ff43-4d9e-8446-8ba37e39ff1a;false;false;2026-09-22;2026-09-21;903fd36c-37ed-4514-b12d-3e454a87f384;ac83ed76-08c2-41ca-9a01-eaa02184bae8;e72e3615-ded8-4327-b36a-4ebdeade5418
