id;montant;mode_paiement;statut;reference_externe;date_transaction;demande_id
accd394c-1c91-4b58-abef-587d74f1057d;27841.62;ORANGE_MONEY;EN_ATTENTE;dans la mesure où gigantesque;2026-09-22T03:23:29;fd9c38c5-54ab-4771-8d96-b08668875463
1267929d-fc4e-4f90-8bcf-eab8af688790;13700.07;ORANGE_MONEY;SUCCES;aux alentours de à l'insu de de;2026-09-21T10:32:03;4ae6ea44-8a5c-4056-8c05-ce99a8be1d83
0a750213-58df-4dcc-8554-4c44f97480e2;2774;ORANGE_MONEY;SUCCES;de crainte que prestataire de services;2026-09-21T15:44:50;5476a98f-ecdb-46bb-9e0f-0df30eea8d52
a42dcb7c-12c7-4c39-955e-f651adc26975;22722.44;ORANGE_MONEY;EN_ATTENTE;hier;2026-09-21T20:57:20;146554d6-7632-4f40-b9c2-60a957d0dcd7
a2ac74ee-05b1-4a85-bf73-40093af5d99f;2582.83;ORANGE_MONEY;EN_ATTENTE;meuh raser;2026-09-22T02:36:44;339de479-657e-44c6-aa9f-93d67b70a35a
a3e4dbcc-7aa7-4b5d-8189-dbfecb93818e;13921.94;ORANGE_MONEY;SUCCES;afin que membre à vie cyan;2026-09-21T14:53:09;26300704-5c08-4133-92aa-b822b9f52013
ab19365a-7e89-4a55-aaee-7cfeb97e6a55;13851.5;ORANGE_MONEY;SUCCES;adversaire touriste;2026-09-21T18:09:59;d7109900-4f7e-4b77-9b35-ca8214e06cbb
5fb9f98e-ea4e-4345-bdc6-b552be0a6e28;25790.76;ORANGE_MONEY;FAILED;conseil municipal exercer quoique;2026-09-21T20:12:45;6050cbb3-6c12-46d3-8a56-30374aadec88
6c05a2f0-9358-4e6a-8ed9-85486e43eb2d;30043.68;ORANGE_MONEY;SUCCES;en face de membre titulaire;2026-09-21T23:03:43;86f81e49-efd5-4e55-96bd-42dbaec29347
ca9e8549-bae1-4e41-9221-92798711b706;5.45;ORANGE_MONEY;EN_ATTENTE;presque marron étant donné que;2026-09-21T12:01:55;0ed188a8-9f93-454e-8cc5-160b29cfda2b
c97c1933-85cb-4789-ab41-8feff9c0ed31;16433.17;ORANGE_MONEY;FAILED;main-d’œuvre vlan quoique;2026-09-21T20:59:03;139d4b4c-454f-4fb5-9988-766b998856ed
391a52c0-4530-44d4-beb1-eb393d692816;21470.13;ORANGE_MONEY;FAILED;référer vide au cas où;2026-09-21T15:32:23;47c48f31-2ef1-4bbd-be4b-d489e8b4dd17
83a3ec08-dc28-4167-97ae-1acb3bf8bbe8;24721.29;ORANGE_MONEY;ANNULE;alors que dehors police;2026-09-21T14:28:47;faceb81d-9f1d-4695-ad75-7ccb590b196d
c63f9224-4bd0-4851-a960-b9d471f375cb;14004.9;ORANGE_MONEY;ANNULE;alors que psitt;2026-09-21T15:42:27;2d54ead1-62cb-4af1-9338-637a11fda158
bc8a6ebf-f20b-4a30-bc19-a0ad9e03d328;17537.48;ORANGE_MONEY;ANNULE;de manière à ressortir protéger;2026-09-21T18:01:33;334d8780-3321-4043-acb4-f7c4340092e2
7c199360-6016-498d-b51e-732f38c9d630;28535.3;ORANGE_MONEY;SUCCES;rattraper ferme;2026-09-21T19:27:14;10df3883-7a95-4953-aa67-ce56a10cb48a
93f53bc1-fbec-484d-946c-a1cf1b1ec3c7;19213.11;ORANGE_MONEY;ANNULE;surmonter pin-pon;2026-09-22T05:59:33;ef29bca6-596e-4731-853c-22818e44095d
0376b161-74c1-4e0a-883c-17d3227ea135;22105.41;ORANGE_MONEY;ANNULE;cultiver de sorte que;2026-09-21T15:45:49;a5bf763c-3690-49b6-9c7c-b02a42fd4a09
6faad329-802e-4de0-9e48-0dc8380d461f;10832.43;ORANGE_MONEY;SUCCES;du fait que certes secours;2026-09-21T09:22:02;e2451ed2-e5b9-4a59-b624-15e69bba7627
94b08a50-c3d8-4146-b7ba-0b3f39ae3192;6999.95;ORANGE_MONEY;ANNULE;géométrique comme sage;2026-09-22T03:04:46;4334e90d-c3d1-45bd-8290-1f455ddf21df
f7339eaa-7949-4cc1-9348-e7684a2dfd70;20707.24;ORANGE_MONEY;EN_ATTENTE;outre tout à fait à moins de;2026-09-21T12:26:04;9b1772eb-b078-4556-a68d-1b3c150c3833
34b82275-f313-4bb6-9b2d-83a6f409dd7f;21741.95;ORANGE_MONEY;SUCCES;chef près;2026-09-22T01:11:22;3862ea9e-955f-4b31-9c2a-c86e47f886d1
f0b665ee-df5c-43e4-a06b-f7c7065a9131;4917.38;ORANGE_MONEY;ANNULE;d'avec badaboum;2026-09-21T15:40:01;a7f1d645-6f09-464d-b407-565bcd0f5885
c478ba6b-540f-4a35-9503-99de53f91363;27061.16;ORANGE_MONEY;EN_ATTENTE;adepte de façon que smack;2026-09-22T03:18:19;b5644f54-d8dd-4a36-a224-13b83db7e420
c7e9c177-8f4a-4988-b337-6290a1620229;6444.42;ORANGE_MONEY;FAILED;snob au-dedans de hi;2026-09-21T18:53:39;57439d89-49d4-490d-999b-9b3ce932d2db
b49b84ef-d5d1-4f0a-8ec5-369f88f2d838;26913.1;ORANGE_MONEY;ANNULE;boum personnel professionnel;2026-09-21T21:55:53;c953f712-05c6-4e75-828e-7dd759dd0618
9b0a13d0-4d45-47f4-bcb4-310ff9fb5f7f;7010.54;ORANGE_MONEY;ANNULE;à peine peut-être dès;2026-09-21T19:31:30;10b3621b-c54d-4afb-8469-83a85220f40b
5117d13b-a70a-4353-96dc-d50a48536617;14639.43;ORANGE_MONEY;SUCCES;corriger patientèle si bien que;2026-09-21T15:26:50;9ba1d688-e0d1-44ed-bdc7-7cb1c6ea02f3
4fe165d3-e565-415d-b5bd-1bbfd437d122;18731.67;ORANGE_MONEY;ANNULE;contre trembler abîmer;2026-09-21T10:54:08;a341b1b1-ef1f-42d6-99b0-9d980e154138
086ed58e-2727-4d37-9bf9-9000b9a2f363;10238.57;ORANGE_MONEY;SUCCES;responsable tellement;2026-09-21T23:58:13;9a250185-2d79-40d7-8c49-068fa0f91a98
