id;limite;quota_service_id;zone_id
c6998480-a52a-4422-bce2-e455962f414c;3352.16;d68c9888-b244-44ae-b766-3992716d90fb;64f5fc18-6f17-4ca6-8d0b-5041a9dc5370
febc457f-cb74-4991-90e8-af64771bdcfb;30671.6;44364142-64aa-4093-9720-c21fa8216589;98f04cbb-7777-41fb-b00f-289a36625deb
a45cc2c6-2e20-46c4-8350-acbcb8fcb8c9;30741.49;79a195c2-e318-4f82-bd53-e796a1a52921;876dd88f-362d-420d-9d8f-243ae78dc6fb
a16b5a14-da61-4046-879a-ac2723198ad3;13238.91;ea992617-8ee6-4a3e-93e2-d7183a51a3ec;5fe4fe6d-e930-40d3-92bd-4c8ab9753b25
1afde4df-4e67-47e7-b568-73db638c5d63;31759.71;c0f93f94-01d7-42a5-aa03-4d0a40f5a481;ba35721d-9879-451a-bcbc-25f00c690c22
da2ab30e-0f2c-44ca-a405-a6b1b21314a1;12685.09;5d2e674d-5eb2-4fcd-a2ec-d28cdba0b7e6;b84e3cdf-e0f1-4742-9414-09a5feffe7ec
95e096a3-8e03-4efa-942f-68370857134c;31778.15;96935d8e-cd9d-46ad-97ad-85028e8c8996;f78fc2c3-2796-4af4-a9cf-5d0139e9e4f7
52ea12b1-f5e4-48b8-a639-61b857ab04aa;24665.78;6d5ae8c4-191b-44a3-8c30-e646776eacda;31362fa6-2a6f-459c-a120-9dfaf676952a
6de3c311-919e-4df2-bde2-620b65071c79;15690.4;549b9ac6-be9e-40b8-bc56-5a73543f4996;c3e906af-c06d-49ff-99b3-8088e8171f06
21748400-01b5-4f07-9731-82e26b7fd2b1;21626.03;66a6c495-c53f-49a3-8dc3-ee39943feca7;a003d516-9c3f-420f-b953-e206b960d9da
931de240-a30d-4336-8811-ccfcca3b31be;8972.56;2c90d369-5867-4697-a1ae-2431cf0ab184;1f40e4bb-735b-4526-a147-0636128a043a
76cc8d31-2ea5-4cde-8ae6-a0d79329d4e3;17125.99;1641014f-24ba-4a03-9ae6-995ef43b613f;ad2ce028-d4b4-4340-8e0e-22ec0ecbb2e0
b2f2dc06-7dcd-4b95-bc3c-9139ac714577;6540.47;a24c771d-b170-4f71-8fb8-d4ec7e291566;9aa89f28-f36a-4cd5-a0b5-91e9987decec
8d48d66d-8198-42cc-b50e-69ef0a609e3e;7552.12;d7bebc93-39be-4128-9fee-147b0c62ea66;325f3769-70a6-4f28-befa-39f5990c52ef
8ab27ed5-e002-4662-a1fe-be2b96130c90;19495.36;afeae6d5-253d-4b0d-b988-83f9983efcd9;ad70e0ea-3761-4c60-ac41-592f3575df81
43c680d1-9bfe-42b2-b5a3-918a78e8d3d5;15365.9;19d2f978-df5c-4ac1-921e-395b689a64a6;3719c60f-17c3-45c0-85c3-e3a1d08c8298
c28f975e-4d59-46f8-bb7d-bc8c064ce2cd;11062.02;a87a568c-795d-4c59-955f-4bc8bff8754f;293ed9f0-41b2-46c7-82e3-3e25d9632c15
35478263-0b0a-4e6f-8663-53064b2e4086;24453.83;1a7eaf70-b9cf-48af-a98e-9763165f6bc1;f099e81f-f08e-4f50-91fe-f339cafde6e9
b327b252-f02c-4a97-8f7b-56a0b712648f;3505.75;30765115-689d-4290-92bf-0e665d8645d3;cc3fa2a0-2076-42c5-8c0c-8e02cc6c6e37
0e18345e-48ee-499e-919b-1be0886c1fb9;30183.73;610a66d8-c93a-47c4-be76-d705ce62d5ca;64b14bc0-49e4-4c7c-9fe6-9c2253ad2633
4391bdf0-0d44-42bc-8aa2-e4183e89bac1;30005.19;a9e9948d-097a-4a6f-ae6c-bfe31d0a337e;83687bf4-d3ef-4863-8c8a-85482fd9d539
109e08da-0694-48ba-917c-64c532dbe453;20416.08;22e76521-406b-42f5-8cea-1c9b00acb706;f17a6615-de58-47a4-8921-67f76fcf6c5e
0b017b07-154a-4a0d-8270-0df09f32ab8c;13521.41;5fbd78df-06c8-410b-bba1-9b4346ec5db6;6316355f-1ae0-4d0b-8570-d4aa51161c63
91fc685b-67ec-4677-9277-1833703b3f9b;27026.6;ed194807-a396-448a-9670-eae51f3993ae;d9a29651-8b91-46f8-abcd-3e66df580878
680e4518-4101-4d88-a971-f1996109f420;23280.26;5915b9ba-2d24-467d-a838-d2eff8acd5e2;229432c3-ced0-46d4-b061-117a9d500941
41d10636-702c-4c57-ab4f-c68c70eafe62;31932.04;4957ef45-22e1-43ed-bdbd-1f845d1fc048;8f0393d4-ee0e-484b-932a-570d5ee18541
0df92764-d170-4096-b5b4-fa3a50393780;15996.38;0a7bcf3d-7abd-4eb5-b67d-caa9c008125d;9feb399e-b303-4688-bbc0-d791f038124e
f690acfd-180d-4103-ad77-0246703de83e;10327.95;f50cd7ed-1d81-46a8-829f-d1eb7655baa3;d7247e92-29ef-4b3c-a210-f8387e2f49bf
ad250f0b-9158-4837-9de2-372fe67d7e22;24605.8;f9bfb04c-f359-44ae-8c69-31d1d1712da4;cfa42025-34d5-48d9-b845-04babfabf250
25f274f7-91d7-4f2b-9d3c-aeaff8c7ffdd;12491.15;994cf400-692d-431b-b0ee-29ad79fae095;1e546658-8f04-4112-8e82-293921a59f3f
