id;limite;unite;periode;date_debut;date_fin;eligibilite_service_id
d68c9888-b244-44ae-b766-3992716d90fb;28206.36;KG;JOUR;2026-09-22;2026-09-21;36b887b6-1530-460f-8441-e8220d0636a9
44364142-64aa-4093-9720-c21fa8216589;12317.74;UNITE;TRIMESTRE;2026-09-22;2026-09-21;ec1c6491-f8fa-4bf9-a146-353d4cd4dd71
79a195c2-e318-4f82-bd53-e796a1a52921;2996.61;KG;ANNEE;2026-09-21;2026-09-22;74df570d-aaef-47bd-8ad8-ec33bf249872
ea992617-8ee6-4a3e-93e2-d7183a51a3ec;12260.41;KG;SEMAINE;2026-09-21;2026-09-21;eaafc4fe-5b10-4113-a6df-f46e8c8b3053
c0f93f94-01d7-42a5-aa03-4d0a40f5a481;30877.66;UNITE;SEMAINE;2026-09-21;2026-09-22;0b1d2da5-78e0-48e8-aca6-2abe202fe6ae
5d2e674d-5eb2-4fcd-a2ec-d28cdba0b7e6;31153.41;UNITE;MOIS;2026-09-21;2026-09-21;a63f8c37-aa87-41f8-bbaa-81ff663a695b
96935d8e-cd9d-46ad-97ad-85028e8c8996;10399.44;UNITE;MOIS;2026-09-22;2026-09-21;15a7306f-0af7-4def-88bb-0363b8fd9bad
6d5ae8c4-191b-44a3-8c30-e646776eacda;8570.29;KG;TRIMESTRE;2026-09-21;2026-09-21;831f076c-c9d7-4532-861d-d1a57efa470c
549b9ac6-be9e-40b8-bc56-5a73543f4996;6021.35;COURSE;JOUR;2026-09-21;2026-09-21;a92d2140-38dc-4e0c-ba61-6509ecc32578
66a6c495-c53f-49a3-8dc3-ee39943feca7;32079.37;COURSE;JOUR;2026-09-22;2026-09-21;dc90baa7-df04-4cb9-94dc-214184616bc4
2c90d369-5867-4697-a1ae-2431cf0ab184;21851.38;UNITE;TRIMESTRE;2026-09-21;2026-09-21;71e657e4-d67d-4839-9e57-e39d472f5b91
1641014f-24ba-4a03-9ae6-995ef43b613f;32217.6;UNITE;MOIS;2026-09-21;2026-09-22;892d78a7-ed7b-42d2-b8b9-b8bf0e77babc
a24c771d-b170-4f71-8fb8-d4ec7e291566;10613.55;KG;JOUR;2026-09-21;2026-09-21;288e09d9-ada9-43ab-ae2e-e465e7eb3111
d7bebc93-39be-4128-9fee-147b0c62ea66;215.8;UNITE;SEMAINE;2026-09-21;2026-09-22;e84d4798-bbf9-480c-867b-cafaec98907a
afeae6d5-253d-4b0d-b988-83f9983efcd9;14338.43;KG;TRIMESTRE;2026-09-22;2026-09-21;e418a763-a67b-4734-ac4f-03c37e4b08f6
19d2f978-df5c-4ac1-921e-395b689a64a6;27339.64;UNITE;ANNEE;2026-09-21;2026-09-21;575f3605-30e1-4893-afa3-33b25750b4f3
a87a568c-795d-4c59-955f-4bc8bff8754f;6557.34;COURSE;TRIMESTRE;2026-09-22;2026-09-21;ae914b8b-ff43-4d9e-8446-8ba37e39ff1a
1a7eaf70-b9cf-48af-a98e-9763165f6bc1;4397.9;COURSE;TRIMESTRE;2026-09-21;2026-09-22;1ee26883-9a44-4da6-93d3-17d1555f3623
30765115-689d-4290-92bf-0e665d8645d3;18570.17;ACCES;ANNEE;2026-09-21;2026-09-21;ff9b36b2-fb73-48e7-8cf9-e2cca5cc88e1
610a66d8-c93a-47c4-be76-d705ce62d5ca;26633.78;ACCES;TRIMESTRE;2026-09-21;2026-09-21;3c0bc10f-2f2e-4e48-962f-91c6cbba41cc
a9e9948d-097a-4a6f-ae6c-bfe31d0a337e;1095.57;KG;SEMAINE;2026-09-22;2026-09-21;38f770c9-1573-4892-8d04-8ad3a39f2466
22e76521-406b-42f5-8cea-1c9b00acb706;28279.57;COURSE;TRIMESTRE;2026-09-21;2026-09-21;d704140a-9649-408d-a2a8-c1b676881aa4
5fbd78df-06c8-410b-bba1-9b4346ec5db6;19208.29;KG;SEMAINE;2026-09-21;2026-09-21;df707d05-8866-4775-8f61-87915f800c09
ed194807-a396-448a-9670-eae51f3993ae;25132.93;KG;JOUR;2026-09-21;2026-09-21;33ae37f2-814b-4fbb-b7a4-d58fdb6352c6
5915b9ba-2d24-467d-a838-d2eff8acd5e2;23672.7;KG;SEMAINE;2026-09-22;2026-09-22;b165ebde-13cb-49f9-8d23-383f22caad50
4957ef45-22e1-43ed-bdbd-1f845d1fc048;12035.53;KG;MOIS;2026-09-22;2026-09-21;554e7b0f-15a0-4f7d-81cf-9610388d6fc5
0a7bcf3d-7abd-4eb5-b67d-caa9c008125d;20243.56;ACCES;SEMAINE;2026-09-21;2026-09-21;b9899042-711a-4f2f-843d-ad39d2c05364
f50cd7ed-1d81-46a8-829f-d1eb7655baa3;29493.35;KG;SEMAINE;2026-09-21;2026-09-22;a1cadccb-adcd-4bd8-b82e-4bbff0882e77
f9bfb04c-f359-44ae-8c69-31d1d1712da4;23701.16;UNITE;SEMAINE;2026-09-22;2026-09-21;63560847-eb57-4588-b09c-27d97f28d2c3
994cf400-692d-431b-b0ee-29ad79fae095;18261.39;ACCES;TRIMESTRE;2026-09-21;2026-09-21;d14409aa-c2aa-4ee3-9f33-5e723a2e2803
