id;solde;service_id
fe203b40-6313-4a44-9fa1-063d8672c9a3;5931.15;69b414ae-ab61-4c82-8b4f-429bd6af8eeb
781029b1-d6ff-424f-bcc6-8fa7ab0957cb;6404.08;d6e1ac50-383e-4dbc-8bf7-54471cda26a1
6b954f9f-85e5-40cd-88d1-87a605bcec28;29879.81;ffc731ea-7473-4e85-bcf3-877da8af0d87
8f50305f-18d0-404d-9eb4-f79fe05c40e7;7061.93;0edc86ca-a16e-4ac1-89ed-b3e7d5a8a4b5
3245f896-7465-46f2-9f7c-b7f406edcf31;23032.56;fcc9d216-7629-48b2-89e8-f1ef8b177cf0
5b566c0e-eec6-412e-9bc1-8cce2474ec0c;32242.22;6f87f340-8fc1-43ba-af6c-a0b01ebe7e82
6bead107-e354-4ee5-bc2a-e43b5ae426cc;15530.55;48488c6f-2f7c-4ce0-8a39-4a1f53b04fb4
0f63c88f-9ab8-470c-ab78-93439b45a5de;26272.67;a935bc6e-1223-421a-9307-d14fb4f06e9c
7283de47-52ab-43bd-8ce9-2b854bec1f3d;9044.51;4e67f872-053c-4183-9bc5-6a29000ca159
01f40eff-00da-4330-8ed6-84a892390223;14623.34;10a4b7b8-bbbd-4518-be85-6badb356f4c6
af0abc65-eaca-42b9-afbf-272d9a10f615;26649.44;5ff184bc-1a58-4db4-98c9-9b9da9f98040
af202258-1601-48a7-9664-d385c9334d61;23190.56;61b4ed90-ce16-4ae6-bfe0-c8a1d538b2fc
59860c5c-85c1-4254-aa26-8c0c76981735;19158.06;04c1aae6-0d73-4897-ac47-868aa0fca263
7d61eea0-ea53-4316-9a01-48829f236382;26079.59;34f95ed9-a3f0-4db4-8d0f-9614ab5f1794
5708a2c0-e6c0-4f85-ace4-f15f7d6ca6e6;13063.53;26506060-abd6-43c2-88eb-50e1fbc4ff8a
57534e84-098a-4a04-b8c6-e9023e5d85d2;27125.06;ac1103e6-e518-4599-be0f-a9528e221838
a5e72b50-9540-4c98-8724-915f61dd8a27;26173.19;903fd36c-37ed-4514-b12d-3e454a87f384
9fb7351d-66d4-485c-89a1-9dd847c09021;2874.96;1c343000-cc3d-4c61-af65-ac8e36758da7
ff04347b-87f5-4c7d-ba9e-0f907b9b227d;27435.47;3dd85a69-726c-488b-a320-c3550efec798
6c19fb3e-a36d-484a-bea6-7b3e5028daec;24134.34;9486d915-357a-4ccb-978d-97404a548768
d3b1a692-c7d4-43b6-b1f7-116181fe062a;12447.06;92f7e527-9c20-48bd-bbd9-28c345acdfa0
8321bda2-5e54-4204-bf74-a83e12c13c1a;8266.12;f51925b5-996b-4248-84de-ad1147e8d20f
18f01687-2f8e-4c98-a3e6-874534e5e742;17017.61;f098ff35-e582-47f2-aa5c-c1b933177266
bb0c22dd-51c4-4476-afc9-5dfb71cf0e75;20032.03;80c8d1f4-734b-4340-8e0e-e23ed8a4dbea
c7b02bad-3c18-48df-9287-dc8a6b1c95a2;25657.73;b2d353f9-cd9c-4636-9737-d40be4cb774c
6be497ba-3fed-434a-9d5c-4caa9a89ad03;707.17;c455b998-e54f-4c44-b2b9-33ca4b467aa6
9ec82595-6d79-4bed-8cf3-700ee49ea568;26482.88;6ea3b33b-648c-4eb4-b9bd-f10b31de9027
de0c0388-fc62-4e79-9614-048185a2af4d;25042.96;8d566293-f3a1-40c1-a3c5-7542c4f083ec
1db18ce9-ada7-41bc-b40b-2b5b0bec7ea6;31405.03;115f5b61-ff6f-4590-af39-ce22d8ba4540
18ade0ac-c7a0-493e-a41e-40850884c28c;10250.06;ec41a651-ec34-42de-9a1a-c24a731cbe16
